"","y1980","y1981","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"676",10,15,10,10,20,10,10,10,25,15,15,10,5,10,20,20,20,0,5,0,30,10,10,5,20,10,8,25,8,20,15,5,7,15,5,10
"677",NA,NA,NA,NA,NA,NA,6,10,15,15,20,5,5,15,20,8,20,10,15,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678",14,10,18,15,8,12,5,7,10,7,6,8,5,10,2,5,20,10,10,15,30,15,5,0,10,20,5,15,0,10,5,0,0,15,0,0
"679",10,8,10,0,15,15,10,15,5,10,20,0,5,0,10,0,5,5,15,5,0,15,15,20,5,23,12,0,15,7,15,25,0,NA,10,30
"680",7,3,5,25,5,5,0,5,5,5,5,5,15,5,5,5,25,15,20,15,15,10,10,10,0,10,10,20,5,0,20,10,10,10,5,0
"681",6,0,20,0,8,10,3,8,30,8,5,3,2,5,0,0,0,20,8,35,10,4,5,3,5,5,12,20,3,4,0,40,5,20,0,0
"682",NA,NA,NA,NA,12,19,0,10,8,11,3,14,0,5,8,0,3,0,5,20,8,5,5,5,0,26,8,0,20,9,3,0,0,0,7,6
"683",5,5,10,10,25,5,5,0,10,10,5,10,5,10,15,0,5,10,5,5,5,5,5,5,10,10,10,5,10,5,5,5,5,3,3,5
"684",NA,NA,NA,NA,50,30,5,15,10,15,20,30,20,15,5,NA,NA,15,20,15,20,20,5,3,5,15,30,30,5,25,3,10,5,20,20,20
"685",5,10,40,5,15,30,0,5,6,10,10,20,2,5,5,8,30,5,5,40,10,6,0,10,4,5,12,20,10,8,10,16,2,10,0,0
"686",15,25,10,10,5,15,3,10,8,5,0,7,5,4,5,10,10,10,6,35,5,10,5,10,10,35,0,12,0,13,4,6,7,8,0,0
"687",NA,31,30,9,20,25,20,10,25,10,28,26,30,25,30,5,10,30,13,43,43,28,33,28,30,12,29,40,50,35,10,39,20,28,15,12
"688",0,10,5,5,0,4,10,3,3,2,30,0,NA,5,0,NA,5,0,0,15,5,0,0,0,5,5,5,0,15,5,10,10,7,5,5,0
"689",NA,NA,NA,NA,NA,NA,NA,0,20,0,5,0,20,5,0,0,2,0,5,15,15,10,10,4,3,0,5,20,5,0,0,20,10,2,0,0
"690",13,10,26,29,27,8,7,13,5,5,4,3,10,29,4,5,10,20,24,40,8,30,28,0,20,5,21,20,10,15,5,17,15,20,5,5
